input_text,output_text
"question: will they fit 2014 mazda 3 sport? context: No, this was for a truck. Good advice is to make sure the model is listed on the item. I returned it since it didn't fit my car.","No, this was for a truck. Good advice is to make sure the model is listed on the item. I returned it since it didn't fit my car."
"question: will they fit 2014 mazda 3 sport? context: Not sure, but I think no because these are for third generation a 2000 should be second generation","Not sure, but I think no because these are for third generation a 2000 should be second generation"
"question: will they fit 2014 mazda 3 sport? context: I have a ram 2007 2500 quad, they fit it fine I am not sure about yours.","I have a ram 2007 2500 quad, they fit it fine I am not sure about yours."
question: will they fit 2014 mazda 3 sport? context: no they will not fit refund my money please,no they will not fit refund my money please
question: will they fit 2014 mazda 3 sport? context: Search function for the Ventshade indicates that it will not fit a Mazda 3 Sport.,Search function for the Ventshade indicates that it will not fit a Mazda 3 Sport.
question: will they fit 2014 mazda 3 sport? context: sorry I do not know,sorry I do not know
question: will they fit 2014 mazda 3 sport? context: No,No
question: will they fit 2014 mazda 3 sport? context: Nope,Nope
question: Do they fit a 1998 GMC Sierra 3 door? context: I have the same configuration vehicle. The vent shades are a perfect match for the factory origonals that came with the truck.,I have the same configuration vehicle. The vent shades are a perfect match for the factory origonals that came with the truck.
"question: Do they fit a 1998 GMC Sierra 3 door? context: I have a 1998 Cheyenne Ext Cab. The Ventshades fit very well, The front fit inside the Window Channel,The Rear are Adhesive and stick on the outside of the Rear Cab Window,assuming the Rear Window width is the same between 95 & 98, mine fit very well,and the depth of the Rear Shades are adequate to open Rear Vent and latch it open. Good Choice!!","I have a 1998 Cheyenne Ext Cab. The Ventshades fit very well, The front fit inside the Window Channel,The Rear are Adhesive and stick on the outside of the Rear Cab Window,assuming the Rear Window width is the same between 95 & 98, mine fit very well,and the depth of the Rear Shades are adequate to open Rear Vent and latch it open. Good Choice!!"
question: Do they fit a 1998 GMC Sierra 3 door? context: If you order the one for your model truck they fit like a glove. Perfect and the lenght  is  exactly the right size .,If you order the one for your model truck they fit like a glove. Perfect and the lenght  is  exactly the right size .
"question: Do they fit a 1998 GMC Sierra 3 door? context: No idea of length,But mine fit right out the box !1989 GMC Extended Cab","No idea of length,But mine fit right out the box !1989 GMC Extended Cab"
question: Do they fit a 1998 GMC Sierra 3 door? context: I have a 94 extended cab and the back two fit perfectly.,I have a 94 extended cab and the back two fit perfectly.
question: Do they fit a 1998 GMC Sierra 3 door? context: yes they will fit these went on a 94 extended cab,yes they will fit these went on a 94 extended cab
question: Do they fit a 1998 GMC Sierra 3 door? context: I used them on my 1994 and fit perfectly also know they are wide so you can still open the back windows,I used them on my 1994 and fit perfectly also know they are wide so you can still open the back windows
question: Do they fit a 1998 GMC Sierra 3 door? context: Yes they will if you u e the pop-out windows. It looks a bit funny though. I just put the front ones on instead if all 4.,Yes they will if you u e the pop-out windows. It looks a bit funny though. I just put the front ones on instead if all 4.
question: Do they fit a 1998 GMC Sierra 3 door? context: Yes,Yes
question: Do they fit a 1998 GMC Sierra 3 door? context: Yup I have the 1998 Chevy Silverado 3 door z71 and they fit great you can even open up the rear side windows without it hitting the vents.,Yup I have the 1998 Chevy Silverado 3 door z71 and they fit great you can even open up the rear side windows without it hitting the vents.
question: Do they fit a 1998 GMC Sierra 3 door? context: Yes,Yes
question: will this work on 95 bonneville and 94 camaro context: It will work on obd 1 pre 95 and obd2 after 95,It will work on obd 1 pre 95 and obd2 after 95
"question: will this work on 95 bonneville and 94 camaro context: Hi Dave:Sorry, but it won't; it claims to be able to work on any OBD1 or OBD2, but it only works on the OBD2 cars... for the life of me, I couldn't get it to work on my 1990 Ford F-250; I can't even get onto their site, to look for software...","Hi Dave:Sorry, but it won't; it claims to be able to work on any OBD1 or OBD2, but it only works on the OBD2 cars... for the life of me, I couldn't get it to work on my 1990 Ford F-250; I can't even get onto their site, to look for software..."
"question: will this work on 95 bonneville and 94 camaro context: this unit comes with a variety of connectors.  You might check under your dash for the connection slot, check the size and pin configuration.  I have a 1992 S-10 pickup.  I bought this unit for my brother, and he reports that I should be able to use it on my pickup (haven't tried).I have considered buying a unit like this for my own use.  It has saved my brother and father a lot of needless repair dollars.If you do buy this or a different unit, you might want to buy one of the two books that cover the display codes (the books are sold on Amazon).","this unit comes with a variety of connectors.  You might check under your dash for the connection slot, check the size and pin configuration.  I have a 1992 S-10 pickup.  I bought this unit for my brother, and he reports that I should be able to use it on my pickup (haven't tried).I have considered buying a unit like this for my own use.  It has saved my brother and father a lot of needless repair dollars.If you do buy this or a different unit, you might want to buy one of the two books that cover the display codes (the books are sold on Amazon)."
"question: will this work on 95 bonneville and 94 camaro context: it is obd 1 and obd 2 compatable the kit has a variety of adapters, I use it on my 95 chevy s10","it is obd 1 and obd 2 compatable the kit has a variety of adapters, I use it on my 95 chevy s10"
question: will this work on 95 bonneville and 94 camaro context: Yes it will.,Yes it will.
question: will this work on 95 bonneville and 94 camaro context: It should    I don't have mine right now to check   My  son uses it at the mechanics shop,It should    I don't have mine right now to check   My  son uses it at the mechanics shop
question: will this work on 95 bonneville and 94 camaro context: OBD2 started in 1996 but I read some 1994 and 1995 cars have OBD2 . This scanner says it does OBD 1 and 2 so it should work,OBD2 started in 1996 but I read some 1994 and 1995 cars have OBD2 . This scanner says it does OBD 1 and 2 so it should work
question: will this work on 95 bonneville and 94 camaro context: yes it will work its OBD-I and OBD-II,yes it will work its OBD-I and OBD-II
"question: will this work on 95 bonneville and 94 camaro context: Hi Tom:this product will only work cars with OBD-2; despite what the AD' says... OBD-2 came out in 1995, so make your SURE car is OBD-2; because some '95 cars will be OBD-1, naturally...hope this helped...","Hi Tom:this product will only work cars with OBD-2; despite what the AD' says... OBD-2 came out in 1995, so make your SURE car is OBD-2; because some '95 cars will be OBD-1, naturally...hope this helped..."
question: will this work on 95 bonneville and 94 camaro context: I bought this as a gift for my brother. He LOVES it.  It has already saved him money in repairs to his car.Marc Unger's answer is correct.  It has a variety of adapters.  My brother has used it on 3 of his cars (all of them date from latter 1990's to early 2000's).  The Auto Scanner is definitely worth the price.  Hope that helps.,I bought this as a gift for my brother. He LOVES it.  It has already saved him money in repairs to his car.Marc Unger's answer is correct.  It has a variety of adapters.  My brother has used it on 3 of his cars (all of them date from latter 1990's to early 2000's).  The Auto Scanner is definitely worth the price.  Hope that helps.
"question: will this work on 95 bonneville and 94 camaro context: That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I.  I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store it inside and you will hopefully not have a problem.



    That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I. I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store...
      » 
Read More


   That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I.  I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store it inside and you will hopefully not have a problem.
      « 

Show Less","That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I.  I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store it inside and you will hopefully not have a problem.



    That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I. I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store...
      » 
Read More


   That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I.  I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store it inside and you will hopefully not have a problem.
      « 

Show Less"
question: will this work on 95 bonneville and 94 camaro context: It works for my 95 S10 Chevy fine and comes with the adapters as well used it.on my 2002 mustang,It works for my 95 S10 Chevy fine and comes with the adapters as well used it.on my 2002 mustang
question: will this work on 95 bonneville and 94 camaro context: The scanner has a connection for OBD I computers and should work. OBD II for 96 and newer.,The scanner has a connection for OBD I computers and should work. OBD II for 96 and newer.
"question: will this work on 95 bonneville and 94 camaro context: Hi Kris;the change over point was 1995!! it depends on when in '95 your car was made; OBD-2 was introduced at some point in '95... if your car has the OBD-1 system, you may very likely have the same problem like me; it just ""MAY NOT"" even recognize your car, let alone read it... before answering you, I looked at some of the other reports and several of them have the same problems with their pre '95 cars...  hope I helped!!regards,Adams","Hi Kris;the change over point was 1995!! it depends on when in '95 your car was made; OBD-2 was introduced at some point in '95... if your car has the OBD-1 system, you may very likely have the same problem like me; it just ""MAY NOT"" even recognize your car, let alone read it... before answering you, I looked at some of the other reports and several of them have the same problems with their pre '95 cars...  hope I helped!!regards,Adams"
"question: will this work on 95 bonneville and 94 camaro context: When I bought my CP9150 kit in 2008, I used it on my '95 Mercury Cougar (OBDII) and my '91 Oldsmobile Bravada (OBDI) with no problems. Before 1996, most GM vehicles used the ALDL cable kit for OBDI computers. In ""94 and '96 certain GM vehicles used the J1962 DLC. I do not know which vehicles these are. But this kit should work on either connector in your car(s). Both of these adapter cables come in the CP9150 kit, along with a few others. I hope this helps. There may be better scanner/readers out there but I'm happy with this one.","When I bought my CP9150 kit in 2008, I used it on my '95 Mercury Cougar (OBDII) and my '91 Oldsmobile Bravada (OBDI) with no problems. Before 1996, most GM vehicles used the ALDL cable kit for OBDI computers. In ""94 and '96 certain GM vehicles used the J1962 DLC. I do not know which vehicles these are. But this kit should work on either connector in your car(s). Both of these adapter cables come in the CP9150 kit, along with a few others. I hope this helps. There may be better scanner/readers out there but I'm happy with this one."
question: will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive? context: Yes it will,Yes it will
question: will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive? context: Yes it will. I have installed 2 on gen 1 alphas,Yes it will. I have installed 2 on gen 1 alphas
question: will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive? context: I purchased this for my Gen 1 and it worked perfectly,I purchased this for my Gen 1 and it worked perfectly
question: will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive? context: This will only fit a mercruiser alpha one stern drive,This will only fit a mercruiser alpha one stern drive
question: will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive? context: This was for my 1988 Mercruiser Alpha one,This was for my 1988 Mercruiser Alpha one
"question: will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive? context: I don't know, but google this and someone will know. Good luck.","I don't know, but google this and someone will know. Good luck."
"question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Hi Charlie, Please use this chart provided by the manufacturer to determine which size and part number you need:http://www.bestop.com/component/products/?view=product&id;=31Thanks, KristenInternet Sales","Hi Charlie, Please use this chart provided by the manufacturer to determine which size and part number you need:http://www.bestop.com/component/products/?view=product&id;=31Thanks, KristenInternet Sales"
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: You will need a 61031-15,You will need a 61031-15
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: The part number you wabt to order is 61031-15. Thanks Daniel,The part number you wabt to order is 61031-15. Thanks Daniel
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Yes that is the one you need.,Yes that is the one you need.
"question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Yes, tight thread like a canvas tent.","Yes, tight thread like a canvas tent."
"question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Don't know about water""proof"" but very resistant.","Don't know about water""proof"" but very resistant."
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Yes it has like a waxy finish so it repels the water to a point,Yes it has like a waxy finish so it repels the water to a point
"question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: I am currently traveling and will not be home till Thursday morning. I don't know the tire size on my jeep wrangler without looking but I can look and send you another email after I verify my tire size. When I bought my tire cover I bought the XLarge first but I could not get it on the tire. I then bought the Bestop 61033-35 Black Diamond XX-Large Tire Cover for tires 33"" diameter, 13"" deep. This fit perfectly. However, when my wife goes through a car wash the cover comes off the tire. We have not had this problem on the road or highway.","I am currently traveling and will not be home till Thursday morning. I don't know the tire size on my jeep wrangler without looking but I can look and send you another email after I verify my tire size. When I bought my tire cover I bought the XLarge first but I could not get it on the tire. I then bought the Bestop 61033-35 Black Diamond XX-Large Tire Cover for tires 33"" diameter, 13"" deep. This fit perfectly. However, when my wife goes through a car wash the cover comes off the tire. We have not had this problem on the road or highway."
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: My Wrangler tire size is 31/10.5r15.  I bought the X-large tire cover and there is no sag whatsoever.  Hope this helps.,My Wrangler tire size is 31/10.5r15.  I bought the X-large tire cover and there is no sag whatsoever.  Hope this helps.
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Measure the tire and go a size larger would be my rec. as my mud tires were measured and the size formula was to small.,Measure the tire and go a size larger would be my rec. as my mud tires were measured and the size formula was to small.
"question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: Jeep Wrangler with tire size 225/75R16.  Besttop - Used 61029-15.  It was REAL tight so I think it would fit perfect with a 15"" wheel","Jeep Wrangler with tire size 225/75R16.  Besttop - Used 61029-15.  It was REAL tight so I think it would fit perfect with a 15"" wheel"
question: I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium? context: The stock 225/75-R16 on my '10 Unlimited fit great with the medium size.,The stock 225/75-R16 on my '10 Unlimited fit great with the medium size.
"question: is it easy to install? context: Ok, I did order these and found out there are two springs in each kit.  So you only need to place an order for 1 and you will get two springs and everything you need.","Ok, I did order these and found out there are two springs in each kit.  So you only need to place an order for 1 and you will get two springs and everything you need."
question: is it easy to install? context: That's price for a pair.,That's price for a pair.
question: is it easy to install? context: the 2000 lbs springs are about 4 inches in diameter by 8 inches high as also the 1500 lbs ones...the 2000 lbs springs added on the rear of a 4000 pound car (1969 dodge charger with tired saggy leaf springs) added about 2 inches in ride height but were too hard of a ride to use ...The 1500 lbs springs are perfect with 1 1/2 inch ride height increase and great ride with no spring noise...,the 2000 lbs springs are about 4 inches in diameter by 8 inches high as also the 1500 lbs ones...the 2000 lbs springs added on the rear of a 4000 pound car (1969 dodge charger with tired saggy leaf springs) added about 2 inches in ride height but were too hard of a ride to use ...The 1500 lbs springs are perfect with 1 1/2 inch ride height increase and great ride with no spring noise...
"question: is it easy to install? context: Not sure of dimensions, they fit any truck that has leaf springs only. You will have to jack the vehicle up from the bumper, then bolt springs in place. It adds another ton to carrying . The vehicle doesn't bounce as much when going over rough roads.","Not sure of dimensions, they fit any truck that has leaf springs only. You will have to jack the vehicle up from the bumper, then bolt springs in place. It adds another ton to carrying . The vehicle doesn't bounce as much when going over rough roads."
question: is it easy to install? context: howdy you would mount the springs just below the frame rail so when the vehicle squats from a load the springs will pick it up..,howdy you would mount the springs just below the frame rail so when the vehicle squats from a load the springs will pick it up..
question: is it easy to install? context: Any place between the rear end and the tire. Just so it don't effect any brake lines.,Any place between the rear end and the tire. Just so it don't effect any brake lines.
"question: is it easy to install? context: On the axle tube directly under the frame hump. There should be a rubber bumper stop/cushion in the top of the hump. The rubber stopper usually fits to some degree inside the top of the coil helper spring, it does not have to be perfect.","On the axle tube directly under the frame hump. There should be a rubber bumper stop/cushion in the top of the hump. The rubber stopper usually fits to some degree inside the top of the coil helper spring, it does not have to be perfect."
"question: is it easy to install? context: At the leaf spring on the axle itself. Lost one spring due to driving over a curb. Had to buy another set. They really hold up to their weight, but not to the axle.","At the leaf spring on the axle itself. Lost one spring due to driving over a curb. Had to buy another set. They really hold up to their weight, but not to the axle."
"question: is it easy to install? context: on leif springs , it goes between axle and spring, on coil springs ,Dodges, you can't use the u bolts, there is a rubber attachment on body that coil fits, then bolt from top with bar, you will have to drill hole in bar and bolt to rubber from top.","on leif springs , it goes between axle and spring, on coil springs ,Dodges, you can't use the u bolts, there is a rubber attachment on body that coil fits, then bolt from top with bar, you will have to drill hole in bar and bolt to rubber from top."
question: is it easy to install? context: not too difficult if you're mechanically inclined and have a jack and some tools,not too difficult if you're mechanically inclined and have a jack and some tools
question: is it easy to install? context: yes it is easy to install====  but jack it up all the way one side at a time==place under rubber bumpers== keep clamp a way from the brake lines! make sure the clamp is tight==after you drive it check clamp!!!      enjoy,yes it is easy to install====  but jack it up all the way one side at a time==place under rubber bumpers== keep clamp a way from the brake lines! make sure the clamp is tight==after you drive it check clamp!!!      enjoy
"question: is it easy to install? context: Yes,  These are very easy to install.  Just make sure you tighten U-bolt nuts evenly and stay clear of the brake lines.","Yes,  These are very easy to install.  Just make sure you tighten U-bolt nuts evenly and stay clear of the brake lines."
question: is it easy to install? context: They are reasonably easy to install.  You need to jack the truck up by the frame on each side to make room to install the springs between the axle and the frame and make sure you do not leave the steel brake lines underneath the u-bolts.  I am a retired ASE Master Mechanic but it does not require that kind of experience to install these properly.  Hope that helps.,They are reasonably easy to install.  You need to jack the truck up by the frame on each side to make room to install the springs between the axle and the frame and make sure you do not leave the steel brake lines underneath the u-bolts.  I am a retired ASE Master Mechanic but it does not require that kind of experience to install these properly.  Hope that helps.
question: is it easy to install? context: Very easy to install with basic skills...your vehicle needs to be jacked up a bit to fit the spring between the frame and axle...then put the clamps  (!check to see that the brake lines is NOT under the clamps!) tighten the clamps and lower the vehicle. Your ready for some Dukes of Hazzard style jumps...just kidding...besides you would need a 69 Charger.,Very easy to install with basic skills...your vehicle needs to be jacked up a bit to fit the spring between the frame and axle...then put the clamps  (!check to see that the brake lines is NOT under the clamps!) tighten the clamps and lower the vehicle. Your ready for some Dukes of Hazzard style jumps...just kidding...besides you would need a 69 Charger.
question: is it easy to install? context: Very easy,Very easy
question: is it easy to install? context: Yes they were easy to install.  I needed to buy bigger U bolts for my particular truck but they were easy to install.  I take mine on and off as needed.,Yes they were easy to install.  I needed to buy bigger U bolts for my particular truck but they were easy to install.  I take mine on and off as needed.
question: is it easy to install? context: Very simple to install. But I did find it easier to get one nut put on the U clamps and then cut the extra length of the U clamps based off of that new measurement.  So that your not having to spend 30 mins trying to thread the nuts on because the U clamps are universal to fit other trucks. Plus I like the load it can handle and unlike an add a leaf set I like how it doesn't change the vehicles handling.,Very simple to install. But I did find it easier to get one nut put on the U clamps and then cut the extra length of the U clamps based off of that new measurement.  So that your not having to spend 30 mins trying to thread the nuts on because the U clamps are universal to fit other trucks. Plus I like the load it can handle and unlike an add a leaf set I like how it doesn't change the vehicles handling.
"question: is it easy to install? context: yes they just go on the axle and a ubolt bolts them onto the axle,very easy","yes they just go on the axle and a ubolt bolts them onto the axle,very easy"
question: is it easy to install? context: Easy to install but you need large u-bolts and plates to set the coil spring good,Easy to install but you need large u-bolts and plates to set the coil spring good
question: is it easy to install? context: It was easy for me to install. I raised the frame off the rear differential just enough to install the coil and put the u-bolt on. Then I install the second one the same way.,It was easy for me to install. I raised the frame off the rear differential just enough to install the coil and put the u-bolt on. Then I install the second one the same way.
question: is it easy to install? context: IT TOOK TEN MINITES IN THE DRIVEWAY,IT TOOK TEN MINITES IN THE DRIVEWAY
"question: is it easy to install? context: Yes, very easy.  I've installed several of them.  They do not fit the Dodge Caravans however, because of the axle design.","Yes, very easy.  I've installed several of them.  They do not fit the Dodge Caravans however, because of the axle design."
"question: is it easy to install? context: Hey John: These are extremely easy to install,just 2 u_bolts around the differential...very easy!!!","Hey John: These are extremely easy to install,just 2 u_bolts around the differential...very easy!!!"
question: is it easy to install? context: what are the u-bolts dimensions?  and what are the springs dimensions?,what are the u-bolts dimensions?  and what are the springs dimensions?
question: Will these work on a 2004 Ford Explorer? context: I understand your concern. I have sidelined these mirrors for a different set which I like better and attach real well on the outside mirrors. These are not the typical tpe that rubber band on. Also with the CIPA 11650 was a wind noise from the strap.,I understand your concern. I have sidelined these mirrors for a different set which I like better and attach real well on the outside mirrors. These are not the typical tpe that rubber band on. Also with the CIPA 11650 was a wind noise from the strap.
"question: Will these work on a 2004 Ford Explorer? context: No problem with water, these are the best. a little vibration, but not enough to be of concern..I did put those little bullet mirrors on it for added view. You won't find a better deal, unless you spend $38,000 for a new truck with real hauling mirrors built in.....","No problem with water, these are the best. a little vibration, but not enough to be of concern..I did put those little bullet mirrors on it for added view. You won't find a better deal, unless you spend $38,000 for a new truck with real hauling mirrors built in....."
question: Will these work on a 2004 Ford Explorer? context: We drove for several hours in the rain last week and we had no water in the doors. Hope this helps,We drove for several hours in the rain last week and we had no water in the doors. Hope this helps
question: Will these work on a 2004 Ford Explorer? context: The small amount of water slipping thru the gaps will drain out of weep holes installed on the bottom of the doors.  So this should be no problem.,The small amount of water slipping thru the gaps will drain out of weep holes installed on the bottom of the doors.  So this should be no problem.
question: Will these work on a 2004 Ford Explorer? context: Not at all .. haven't noticed any water - used now for several trips - plenty of nasty weather!,Not at all .. haven't noticed any water - used now for several trips - plenty of nasty weather!
question: Will these work on a 2004 Ford Explorer? context: Factory doors on a '03 Silverado. No rust! I thought all doors had openings or weep holes.,Factory doors on a '03 Silverado. No rust! I thought all doors had openings or weep holes.
question: Will these work on a 2004 Ford Explorer? context: No,No
question: Will these work on a 2004 Ford Explorer? context: No.,No.
question: Will these work on a 2004 Ford Explorer? context: I use these on my 95 Ford F250 without any problem. The only problem I've heard of is on some SUVs' the rubber moulding at the bottom of the door impedes installation.,I use these on my 95 Ford F250 without any problem. The only problem I've heard of is on some SUVs' the rubber moulding at the bottom of the door impedes installation.
question: Will these work on a 2004 Ford Explorer? context: It may if you have a straight wedge,It may if you have a straight wedge
question: Will these work on a 2004 Ford Explorer? context: These are adjustable and should work on just about any vehicle.  I use them my GMC Acadia. I like them because they're so easy to put on; and they stay secure. Very little vibration.,These are adjustable and should work on just about any vehicle.  I use them my GMC Acadia. I like them because they're so easy to put on; and they stay secure. Very little vibration.
"question: Will these work on a 2004 Ford Explorer? context: Since I don't have an 89 Chevy Pickup I can't say for sure however, looking at the design, it should work on most pickups. I'm really happy with my set of two.","Since I don't have an 89 Chevy Pickup I can't say for sure however, looking at the design, it should work on most pickups. I'm really happy with my set of two."
"question: Will these work on a 2004 Ford Explorer? context: Steve, not for sure about the 1989 Pick-up, but I switch mine back and forth from the 1994 Dodge 2500 and the 2008 Nitro with ease. I did add a 12"" piece of 1/2 in pvc to the downleg to get the mirrors level on the big truck.","Steve, not for sure about the 1989 Pick-up, but I switch mine back and forth from the 1994 Dodge 2500 and the 2008 Nitro with ease. I did add a 12"" piece of 1/2 in pvc to the downleg to get the mirrors level on the big truck."
"question: Will these work on a 2004 Ford Explorer? context: I have them for my 1972 GMC, and They will work on your '89 I'm sure of that.","I have them for my 1972 GMC, and They will work on your '89 I'm sure of that."
"question: Will these work on a 2004 Ford Explorer? context: I don't see why not. The lateral top mount hooks over the ledge where the door window rolls up and down from, while the bottom strap with clip extends down the door panel and hooks under it at the base, ratcheting it taunt. What keeps it sturdy and in position is the pressure from the window glass on top so you may not want these if you like to drive with your windows completely down. They are designed to put on then off when not towing. There are other more permanent options available for US trucks as I recall when searching for towing mirrors for my 06 Tundra. Good luck.","I don't see why not. The lateral top mount hooks over the ledge where the door window rolls up and down from, while the bottom strap with clip extends down the door panel and hooks under it at the base, ratcheting it taunt. What keeps it sturdy and in position is the pressure from the window glass on top so you may not want these if you like to drive with your windows completely down. They are designed to put on then off when not towing. There are other more permanent options available for US trucks as I recall when searching for towing mirrors for my 06 Tundra. Good luck."
